case_id,用例类型,场景标签,原始地址,省,市,区县,街道,门牌号,小区,楼栋,单元,室号,邮编,经纬度,预期标准化地址,预期判定,是否需人工复核,备注
CNADDR-0017,integration,简称/别名,武汉市武昌区建设路120号星河湾12幢287室,湖北省,武汉市,武昌区,建设路,120号,星河湾,12栋,6单元,287室,430017,114.334000|30.624000,湖北省武汉市武昌区建设路120号 星河湾12栋6单元287室,needs-human,是,Phase1.5-Lab-中文地址样本-六城
CNADDR-0018,integration,缺失门牌,湖北省随州市广水市解放大道万和府15栋3单元298室,湖北省,随州市,广水市,解放大道,127号,万和府,15栋,3单元,298室,441318,113.416000|31.726000,湖北省随州市广水市解放大道127号 万和府15栋3单元298室,reject,是,Phase1.5-Lab-中文地址样本-六城
CNADDR-0019,integration,疑似不存在,上海市上海市浦东新区不存在路134号龙湖天街,上海市,上海市,浦东新区,创新大道,134号,龙湖天街,18栋,8单元,309室,200019,121.508000|31.268000,上海市上海市浦东新区不存在路134号,reject,是,Phase1.5-Lab-中文地址样本-六城
CNADDR-0020,integration,标准地址,北京市北京市朝阳区科创路141号翡翠城1栋5单元320室,北京市,北京市,朝阳区,科创路,141号,翡翠城,1栋,5单元,320室,100020,116.400000|39.900000,北京市北京市朝阳区科创路141号 翡翠城1栋5单元320室,accept,否,Phase1.5-Lab-中文地址样本-六城
CNADDR-0021,integration,标准地址,广东省深圳市罗湖区友谊路148号东方明珠花园4栋2单元331室,广东省,深圳市,罗湖区,友谊路,148号,东方明珠花园,4栋,2单元,331室,518021,114.062000|22.552000,广东省深圳市罗湖区友谊路148号 东方明珠花园4栋2单元331室,accept,否,Phase1.5-Lab-中文地址样本-六城
CNADDR-0022,integration,标准地址,江苏省苏州市虎丘区沿江大道155号海纳公馆7栋7单元342室,江苏省,苏州市,虎丘区,沿江大道,155号,海纳公馆,7栋,7单元,342室,215022,120.624000|31.304000,江苏省苏州市虎丘区沿江大道155号 海纳公馆7栋7单元342室,accept,否,Phase1.5-Lab-中文地址样本-六城
CNADDR-0023,integration,标准地址,湖北省武汉市武昌区文化路162号锦绣家园10栋4单元353室,湖北省,武汉市,武昌区,文化路,162号,锦绣家园,10栋,4单元,353室,430023,114.306000|30.596000,湖北省武汉市武昌区文化路162号 锦绣家园10栋4单元353室,accept,否,Phase1.5-Lab-中文地址样本-六城
CNADDR-0024,integration,标准地址,湖北省随州市广水市幸福路169号金色华庭13栋1单元364室,湖北省,随州市,广水市,幸福路,169号,金色华庭,13栋,1单元,364室,441324,113.388000|31.698000,湖北省随州市广水市幸福路169号 金色华庭13栋1单元364室,accept,否,Phase1.5-Lab-中文地址样本-六城
CNADDR-0025,integration,标准地址,上海市上海市浦东新区世纪大道176号书香门第16栋6单元375室,上海市,上海市,浦东新区,世纪大道,176号,书香门第,16栋,6单元,375室,200025,121.480000|31.240000,上海市上海市浦东新区世纪大道176号 书香门第16栋6单元375室,accept,否,Phase1.5-Lab-中文地址样本-六城
CNADDR-0026,integration,简称/别名,北京市朝阳区中山东一路183号未来城19幢386室,北京市,北京市,朝阳区,中山东一路,183号,未来城,19栋,3单元,386室,100026,116.412000|39.912000,北京市北京市朝阳区中山东一路183号 未来城19栋3单元386室,needs-human,是,Phase1.5-Lab-中文地址样本-六城
CNADDR-0027,integration,简称/别名,深圳市罗湖区南京西路190号星河湾2幢397室,广东省,深圳市,罗湖区,南京西路,190号,星河湾,2栋,8单元,397室,518027,114.074000|22.564000,广东省深圳市罗湖区南京西路190号 星河湾2栋8单元397室,needs-human,是,Phase1.5-Lab-中文地址样本-六城
CNADDR-0028,integration,缺失门牌,江苏省苏州市虎丘区人民路万和府5栋5单元408室,江苏省,苏州市,虎丘区,人民路,197号,万和府,5栋,5单元,408室,215028,120.636000|31.316000,江苏省苏州市虎丘区人民路197号 万和府5栋5单元408室,reject,是,Phase1.5-Lab-中文地址样本-六城
CNADDR-0029,integration,疑似不存在,湖北省武汉市武昌区不存在路204号龙湖天街,湖北省,武汉市,武昌区,建设路,204号,龙湖天街,8栋,2单元,419室,430029,114.318000|30.608000,湖北省武汉市武昌区不存在路204号,reject,是,Phase1.5-Lab-中文地址样本-六城
CNADDR-0030,integration,标准地址,湖北省随州市广水市解放大道211号翡翠城11栋7单元430室,湖北省,随州市,广水市,解放大道,211号,翡翠城,11栋,7单元,430室,441330,113.400000|31.710000,湖北省随州市广水市解放大道211号 翡翠城11栋7单元430室,accept,否,Phase1.5-Lab-中文地址样本-六城
CNADDR-0031,integration,标准地址,上海市上海市浦东新区创新大道218号东方明珠花园14栋4单元441室,上海市,上海市,浦东新区,创新大道,218号,东方明珠花园,14栋,4单元,441室,200031,121.492000|31.252000,上海市上海市浦东新区创新大道218号 东方明珠花园14栋4单元441室,accept,否,Phase1.5-Lab-中文地址样本-六城
CNADDR-0032,integration,标准地址,北京市北京市朝阳区科创路225号海纳公馆17栋1单元452室,北京市,北京市,朝阳区,科创路,225号,海纳公馆,17栋,1单元,452室,100032,116.424000|39.924000,北京市北京市朝阳区科创路225号 海纳公馆17栋1单元452室,accept,否,Phase1.5-Lab-中文地址样本-六城
CNADDR-0033,integration,标准地址,广东省深圳市罗湖区友谊路232号锦绣家园20栋6单元463室,广东省,深圳市,罗湖区,友谊路,232号,锦绣家园,20栋,6单元,463室,518033,114.086000|22.576000,广东省深圳市罗湖区友谊路232号 锦绣家园20栋6单元463室,accept,否,Phase1.5-Lab-中文地址样本-六城
CNADDR-0034,integration,标准地址,江苏省苏州市虎丘区沿江大道239号金色华庭3栋3单元474室,江苏省,苏州市,虎丘区,沿江大道,239号,金色华庭,3栋,3单元,474室,215034,120.648000|31.328000,江苏省苏州市虎丘区沿江大道239号 金色华庭3栋3单元474室,accept,否,Phase1.5-Lab-中文地址样本-六城
CNADDR-0035,integration,标准地址,湖北省武汉市武昌区文化路246号书香门第6栋8单元485室,湖北省,武汉市,武昌区,文化路,246号,书香门第,6栋,8单元,485室,430035,114.330000|30.620000,湖北省武汉市武昌区文化路246号 书香门第6栋8单元485室,accept,否,Phase1.5-Lab-中文地址样本-六城
CNADDR-0036,integration,简称/别名,随州市广水市幸福路253号未来城9幢496室,湖北省,随州市,广水市,幸福路,253号,未来城,9栋,5单元,496室,441336,113.412000|31.722000,湖北省随州市广水市幸福路253号 未来城9栋5单元496室,needs-human,是,Phase1.5-Lab-中文地址样本-六城
CNADDR-0037,integration,简称/别名,上海市浦东新区世纪大道260号星河湾12幢507室,上海市,上海市,浦东新区,世纪大道,260号,星河湾,12栋,2单元,507室,200037,121.504000|31.264000,上海市上海市浦东新区世纪大道260号 星河湾12栋2单元507室,needs-human,是,Phase1.5-Lab-中文地址样本-六城
CNADDR-0038,integration,缺失门牌,北京市北京市朝阳区中山东一路万和府15栋7单元518室,北京市,北京市,朝阳区,中山东一路,267号,万和府,15栋,7单元,518室,100038,116.436000|39.936000,北京市北京市朝阳区中山东一路267号 万和府15栋7单元518室,reject,是,Phase1.5-Lab-中文地址样本-六城
CNADDR-0039,integration,疑似不存在,广东省深圳市罗湖区不存在路274号龙湖天街,广东省,深圳市,罗湖区,南京西路,274号,龙湖天街,18栋,4单元,529室,518039,114.098000|22.588000,广东省深圳市罗湖区不存在路274号,reject,是,Phase1.5-Lab-中文地址样本-六城
CNADDR-0040,integration,标准地址,江苏省苏州市虎丘区人民路281号翡翠城1栋1单元540室,江苏省,苏州市,虎丘区,人民路,281号,翡翠城,1栋,1单元,540室,215040,120.620000|31.300000,江苏省苏州市虎丘区人民路281号 翡翠城1栋1单元540室,accept,否,Phase1.5-Lab-中文地址样本-六城
CNADDR-0041,integration,标准地址,湖北省武汉市武昌区建设路288号东方明珠花园4栋6单元551室,湖北省,武汉市,武昌区,建设路,288号,东方明珠花园,4栋,6单元,551室,430041,114.302000|30.592000,湖北省武汉市武昌区建设路288号 东方明珠花园4栋6单元551室,accept,否,Phase1.5-Lab-中文地址样本-六城
CNADDR-0042,integration,标准地址,湖北省随州市广水市解放大道295号海纳公馆7栋3单元562室,湖北省,随州市,广水市,解放大道,295号,海纳公馆,7栋,3单元,562室,441342,113.384000|31.694000,湖北省随州市广水市解放大道295号 海纳公馆7栋3单元562室,accept,否,Phase1.5-Lab-中文地址样本-六城
CNADDR-0043,integration,标准地址,上海市上海市浦东新区创新大道302号锦绣家园10栋8单元573室,上海市,上海市,浦东新区,创新大道,302号,锦绣家园,10栋,8单元,573室,200043,121.476000|31.236000,上海市上海市浦东新区创新大道302号 锦绣家园10栋8单元573室,accept,否,Phase1.5-Lab-中文地址样本-六城
CNADDR-0044,integration,标准地址,北京市北京市朝阳区科创路309号金色华庭13栋5单元584室,北京市,北京市,朝阳区,科创路,309号,金色华庭,13栋,5单元,584室,100044,116.408000|39.908000,北京市北京市朝阳区科创路309号 金色华庭13栋5单元584室,accept,否,Phase1.5-Lab-中文地址样本-六城
CNADDR-0045,integration,标准地址,广东省深圳市罗湖区友谊路316号书香门第16栋2单元595室,广东省,深圳市,罗湖区,友谊路,316号,书香门第,16栋,2单元,595室,518045,114.070000|22.560000,广东省深圳市罗湖区友谊路316号 书香门第16栋2单元595室,accept,否,Phase1.5-Lab-中文地址样本-六城
CNADDR-0046,integration,简称/别名,苏州市虎丘区沿江大道323号未来城19幢606室,江苏省,苏州市,虎丘区,沿江大道,323号,未来城,19栋,7单元,606室,215046,120.632000|31.312000,江苏省苏州市虎丘区沿江大道323号 未来城19栋7单元606室,needs-human,是,Phase1.5-Lab-中文地址样本-六城
CNADDR-0047,integration,简称/别名,武汉市武昌区文化路330号星河湾2幢617室,湖北省,武汉市,武昌区,文化路,330号,星河湾,2栋,4单元,617室,430047,114.314000|30.604000,湖北省武汉市武昌区文化路330号 星河湾2栋4单元617室,needs-human,是,Phase1.5-Lab-中文地址样本-六城
CNADDR-0048,integration,缺失门牌,湖北省随州市广水市幸福路万和府5栋1单元628室,湖北省,随州市,广水市,幸福路,337号,万和府,5栋,1单元,628室,441348,113.396000|31.706000,湖北省随州市广水市幸福路337号 万和府5栋1单元628室,reject,是,Phase1.5-Lab-中文地址样本-六城
CNADDR-0049,integration,疑似不存在,上海市上海市浦东新区不存在路344号龙湖天街,上海市,上海市,浦东新区,世纪大道,344号,龙湖天街,8栋,6单元,639室,200049,121.488000|31.248000,上海市上海市浦东新区不存在路344号,reject,是,Phase1.5-Lab-中文地址样本-六城
CNADDR-0050,integration,标准地址,北京市北京市朝阳区中山东一路351号翡翠城11栋3单元650室,北京市,北京市,朝阳区,中山东一路,351号,翡翠城,11栋,3单元,650室,100050,116.420000|39.920000,北京市北京市朝阳区中山东一路351号 翡翠城11栋3单元650室,accept,否,Phase1.5-Lab-中文地址样本-六城
CNADDR-0051,integration,标准地址,广东省深圳市罗湖区南京西路358号东方明珠花园14栋8单元661室,广东省,深圳市,罗湖区,南京西路,358号,东方明珠花园,14栋,8单元,661室,518051,114.082000|22.572000,广东省深圳市罗湖区南京西路358号 东方明珠花园14栋8单元661室,accept,否,Phase1.5-Lab-中文地址样本-六城
CNADDR-0052,integration,标准地址,江苏省苏州市虎丘区人民路365号海纳公馆17栋5单元672室,江苏省,苏州市,虎丘区,人民路,365号,海纳公馆,17栋,5单元,672室,215052,120.644000|31.324000,江苏省苏州市虎丘区人民路365号 海纳公馆17栋5单元672室,accept,否,Phase1.5-Lab-中文地址样本-六城
CNADDR-0053,integration,标准地址,湖北省武汉市武昌区建设路372号锦绣家园20栋2单元683室,湖北省,武汉市,武昌区,建设路,372号,锦绣家园,20栋,2单元,683室,430053,114.326000|30.616000,湖北省武汉市武昌区建设路372号 锦绣家园20栋2单元683室,accept,否,Phase1.5-Lab-中文地址样本-六城
CNADDR-0054,integration,标准地址,湖北省随州市广水市解放大道379号金色华庭3栋7单元694室,湖北省,随州市,广水市,解放大道,379号,金色华庭,3栋,7单元,694室,441354,113.408000|31.718000,湖北省随州市广水市解放大道379号 金色华庭3栋7单元694室,accept,否,Phase1.5-Lab-中文地址样本-六城
CNADDR-0055,integration,标准地址,上海市上海市浦东新区创新大道386号书香门第6栋4单元705室,上海市,上海市,浦东新区,创新大道,386号,书香门第,6栋,4单元,705室,200055,121.500000|31.260000,上海市上海市浦东新区创新大道386号 书香门第6栋4单元705室,accept,否,Phase1.5-Lab-中文地址样本-六城
CNADDR-0056,integration,简称/别名,北京市朝阳区科创路393号未来城9幢716室,北京市,北京市,朝阳区,科创路,393号,未来城,9栋,1单元,716室,100056,116.432000|39.932000,北京市北京市朝阳区科创路393号 未来城9栋1单元716室,needs-human,是,Phase1.5-Lab-中文地址样本-六城
CNADDR-0057,integration,简称/别名,深圳市罗湖区友谊路400号星河湾12幢727室,广东省,深圳市,罗湖区,友谊路,400号,星河湾,12栋,6单元,727室,518057,114.094000|22.584000,广东省深圳市罗湖区友谊路400号 星河湾12栋6单元727室,needs-human,是,Phase1.5-Lab-中文地址样本-六城
CNADDR-0058,integration,缺失门牌,江苏省苏州市虎丘区沿江大道万和府15栋3单元738室,江苏省,苏州市,虎丘区,沿江大道,407号,万和府,15栋,3单元,738室,215058,120.656000|31.336000,江苏省苏州市虎丘区沿江大道407号 万和府15栋3单元738室,reject,是,Phase1.5-Lab-中文地址样本-六城
CNADDR-0059,integration,疑似不存在,湖北省武汉市武昌区不存在路414号龙湖天街,湖北省,武汉市,武昌区,文化路,414号,龙湖天街,18栋,8单元,749室,430059,114.338000|30.628000,湖北省武汉市武昌区不存在路414号,reject,是,Phase1.5-Lab-中文地址样本-六城
CNADDR-0060,integration,标准地址,湖北省随州市广水市幸福路421号翡翠城1栋5单元760室,湖北省,随州市,广水市,幸福路,421号,翡翠城,1栋,5单元,760室,441360,113.380000|31.690000,湖北省随州市广水市幸福路421号 翡翠城1栋5单元760室,accept,否,Phase1.5-Lab-中文地址样本-六城
CNADDR-0061,integration,标准地址,上海市上海市浦东新区世纪大道428号东方明珠花园4栋2单元771室,上海市,上海市,浦东新区,世纪大道,428号,东方明珠花园,4栋,2单元,771室,200061,121.472000|31.232000,上海市上海市浦东新区世纪大道428号 东方明珠花园4栋2单元771室,accept,否,Phase1.5-Lab-中文地址样本-六城
CNADDR-0062,integration,标准地址,北京市北京市朝阳区中山东一路435号海纳公馆7栋7单元782室,北京市,北京市,朝阳区,中山东一路,435号,海纳公馆,7栋,7单元,782室,100062,116.404000|39.904000,北京市北京市朝阳区中山东一路435号 海纳公馆7栋7单元782室,accept,否,Phase1.5-Lab-中文地址样本-六城
CNADDR-0063,integration,标准地址,广东省深圳市罗湖区南京西路442号锦绣家园10栋4单元793室,广东省,深圳市,罗湖区,南京西路,442号,锦绣家园,10栋,4单元,793室,518063,114.066000|22.556000,广东省深圳市罗湖区南京西路442号 锦绣家园10栋4单元793室,accept,否,Phase1.5-Lab-中文地址样本-六城
CNADDR-0064,integration,标准地址,江苏省苏州市虎丘区人民路449号金色华庭13栋1单元804室,江苏省,苏州市,虎丘区,人民路,449号,金色华庭,13栋,1单元,804室,215064,120.628000|31.308000,江苏省苏州市虎丘区人民路449号 金色华庭13栋1单元804室,accept,否,Phase1.5-Lab-中文地址样本-六城
CNADDR-0065,integration,标准地址,湖北省武汉市武昌区建设路456号书香门第16栋6单元815室,湖北省,武汉市,武昌区,建设路,456号,书香门第,16栋,6单元,815室,430065,114.310000|30.600000,湖北省武汉市武昌区建设路456号 书香门第16栋6单元815室,accept,否,Phase1.5-Lab-中文地址样本-六城
CNADDR-0066,integration,简称/别名,随州市广水市解放大道463号未来城19幢826室,湖北省,随州市,广水市,解放大道,463号,未来城,19栋,3单元,826室,441366,113.392000|31.702000,湖北省随州市广水市解放大道463号 未来城19栋3单元826室,needs-human,是,Phase1.5-Lab-中文地址样本-六城
CNADDR-0067,integration,简称/别名,上海市浦东新区创新大道470号星河湾2幢837室,上海市,上海市,浦东新区,创新大道,470号,星河湾,2栋,8单元,837室,200067,121.484000|31.244000,上海市上海市浦东新区创新大道470号 星河湾2栋8单元837室,needs-human,是,Phase1.5-Lab-中文地址样本-六城
CNADDR-0068,integration,缺失门牌,北京市北京市朝阳区科创路万和府5栋5单元848室,北京市,北京市,朝阳区,科创路,477号,万和府,5栋,5单元,848室,100068,116.416000|39.916000,北京市北京市朝阳区科创路477号 万和府5栋5单元848室,reject,是,Phase1.5-Lab-中文地址样本-六城
CNADDR-0069,integration,疑似不存在,广东省深圳市罗湖区不存在路484号龙湖天街,广东省,深圳市,罗湖区,友谊路,484号,龙湖天街,8栋,2单元,859室,518069,114.078000|22.568000,广东省深圳市罗湖区不存在路484号,reject,是,Phase1.5-Lab-中文地址样本-六城
CNADDR-0070,integration,标准地址,江苏省苏州市虎丘区沿江大道491号翡翠城11栋7单元870室,江苏省,苏州市,虎丘区,沿江大道,491号,翡翠城,11栋,7单元,870室,215070,120.640000|31.320000,江苏省苏州市虎丘区沿江大道491号 翡翠城11栋7单元870室,accept,否,Phase1.5-Lab-中文地址样本-六城
CNADDR-0071,integration,标准地址,湖北省武汉市武昌区文化路498号东方明珠花园14栋4单元881室,湖北省,武汉市,武昌区,文化路,498号,东方明珠花园,14栋,4单元,881室,430071,114.322000|30.612000,湖北省武汉市武昌区文化路498号 东方明珠花园14栋4单元881室,accept,否,Phase1.5-Lab-中文地址样本-六城
CNADDR-0072,integration,标准地址,湖北省随州市广水市幸福路505号海纳公馆17栋1单元892室,湖北省,随州市,广水市,幸福路,505号,海纳公馆,17栋,1单元,892室,441372,113.404000|31.714000,湖北省随州市广水市幸福路505号 海纳公馆17栋1单元892室,accept,否,Phase1.5-Lab-中文地址样本-六城
CNADDR-0073,integration,标准地址,上海市上海市浦东新区世纪大道512号锦绣家园20栋6单元903室,上海市,上海市,浦东新区,世纪大道,512号,锦绣家园,20栋,6单元,903室,200073,121.496000|31.256000,上海市上海市浦东新区世纪大道512号 锦绣家园20栋6单元903室,accept,否,Phase1.5-Lab-中文地址样本-六城
CNADDR-0074,integration,标准地址,北京市北京市朝阳区中山东一路519号金色华庭3栋3单元914室,北京市,北京市,朝阳区,中山东一路,519号,金色华庭,3栋,3单元,914室,100074,116.428000|39.928000,北京市北京市朝阳区中山东一路519号 金色华庭3栋3单元914室,accept,否,Phase1.5-Lab-中文地址样本-六城
CNADDR-0075,integration,标准地址,广东省深圳市罗湖区南京西路526号书香门第6栋8单元925室,广东省,深圳市,罗湖区,南京西路,526号,书香门第,6栋,8单元,925室,518075,114.090000|22.580000,广东省深圳市罗湖区南京西路526号 书香门第6栋8单元925室,accept,否,Phase1.5-Lab-中文地址样本-六城
CNADDR-0076,integration,简称/别名,苏州市虎丘区人民路533号未来城9幢936室,江苏省,苏州市,虎丘区,人民路,533号,未来城,9栋,5单元,936室,215076,120.652000|31.332000,江苏省苏州市虎丘区人民路533号 未来城9栋5单元936室,needs-human,是,Phase1.5-Lab-中文地址样本-六城
CNADDR-0077,integration,简称/别名,武汉市武昌区建设路540号星河湾12幢947室,湖北省,武汉市,武昌区,建设路,540号,星河湾,12栋,2单元,947室,430077,114.334000|30.624000,湖北省武汉市武昌区建设路540号 星河湾12栋2单元947室,needs-human,是,Phase1.5-Lab-中文地址样本-六城
CNADDR-0078,integration,缺失门牌,湖北省随州市广水市解放大道万和府15栋7单元958室,湖北省,随州市,广水市,解放大道,547号,万和府,15栋,7单元,958室,441378,113.416000|31.726000,湖北省随州市广水市解放大道547号 万和府15栋7单元958室,reject,是,Phase1.5-Lab-中文地址样本-六城
CNADDR-0079,integration,疑似不存在,上海市上海市浦东新区不存在路554号龙湖天街,上海市,上海市,浦东新区,创新大道,554号,龙湖天街,18栋,4单元,969室,200079,121.508000|31.268000,上海市上海市浦东新区不存在路554号,reject,是,Phase1.5-Lab-中文地址样本-六城
CNADDR-0080,integration,标准地址,北京市北京市朝阳区科创路561号翡翠城1栋1单元980室,北京市,北京市,朝阳区,科创路,561号,翡翠城,1栋,1单元,980室,100080,116.400000|39.900000,北京市北京市朝阳区科创路561号 翡翠城1栋1单元980室,accept,否,Phase1.5-Lab-中文地址样本-六城
CNADDR-0081,integration,标准地址,广东省深圳市罗湖区友谊路568号东方明珠花园4栋6单元991室,广东省,深圳市,罗湖区,友谊路,568号,东方明珠花园,4栋,6单元,991室,518081,114.062000|22.552000,广东省深圳市罗湖区友谊路568号 东方明珠花园4栋6单元991室,accept,否,Phase1.5-Lab-中文地址样本-六城
CNADDR-0082,integration,标准地址,江苏省苏州市虎丘区沿江大道575号海纳公馆7栋3单元1002室,江苏省,苏州市,虎丘区,沿江大道,575号,海纳公馆,7栋,3单元,1002室,215082,120.624000|31.304000,江苏省苏州市虎丘区沿江大道575号 海纳公馆7栋3单元1002室,accept,否,Phase1.5-Lab-中文地址样本-六城
CNADDR-0083,integration,标准地址,湖北省武汉市武昌区文化路582号锦绣家园10栋8单元1013室,湖北省,武汉市,武昌区,文化路,582号,锦绣家园,10栋,8单元,1013室,430083,114.306000|30.596000,湖北省武汉市武昌区文化路582号 锦绣家园10栋8单元1013室,accept,否,Phase1.5-Lab-中文地址样本-六城
CNADDR-0084,integration,标准地址,湖北省随州市广水市幸福路589号金色华庭13栋5单元1024室,湖北省,随州市,广水市,幸福路,589号,金色华庭,13栋,5单元,1024室,441384,113.388000|31.698000,湖北省随州市广水市幸福路589号 金色华庭13栋5单元1024室,accept,否,Phase1.5-Lab-中文地址样本-六城
CNADDR-0085,integration,标准地址,上海市上海市浦东新区世纪大道596号书香门第16栋2单元1035室,上海市,上海市,浦东新区,世纪大道,596号,书香门第,16栋,2单元,1035室,200085,121.480000|31.240000,上海市上海市浦东新区世纪大道596号 书香门第16栋2单元1035室,accept,否,Phase1.5-Lab-中文地址样本-六城
CNADDR-0086,integration,简称/别名,北京市朝阳区中山东一路603号未来城19幢1046室,北京市,北京市,朝阳区,中山东一路,603号,未来城,19栋,7单元,1046室,100086,116.412000|39.912000,北京市北京市朝阳区中山东一路603号 未来城19栋7单元1046室,needs-human,是,Phase1.5-Lab-中文地址样本-六城
CNADDR-0087,integration,简称/别名,深圳市罗湖区南京西路610号星河湾2幢1057室,广东省,深圳市,罗湖区,南京西路,610号,星河湾,2栋,4单元,1057室,518087,114.074000|22.564000,广东省深圳市罗湖区南京西路610号 星河湾2栋4单元1057室,needs-human,是,Phase1.5-Lab-中文地址样本-六城
CNADDR-0088,integration,缺失门牌,江苏省苏州市虎丘区人民路万和府5栋1单元1068室,江苏省,苏州市,虎丘区,人民路,617号,万和府,5栋,1单元,1068室,215088,120.636000|31.316000,江苏省苏州市虎丘区人民路617号 万和府5栋1单元1068室,reject,是,Phase1.5-Lab-中文地址样本-六城
