case_id,type,shard,phase_focus,batch_id,sample_spec_id,sample_mode,candidate_count,approval_status,caller_role,fault_mode,baseline_auto_pass_rate,baseline_review_rate,baseline_human_required_rate,baseline_consistency_score,baseline_quality_gate_pass_rate,baseline_review_accept_rate,candidate_auto_pass_rate,candidate_review_rate,candidate_human_required_rate,candidate_consistency_score,candidate_quality_gate_pass_rate,candidate_review_accept_rate,expected_recommendation,expected_http,expected_activation_allowed,expected_replay_available,expected_audit_events,time_budget_seconds
INT-0011,integration,01,A1_baseline,batch-0011,ss-12,sample_spec,3,pending,operator,schema_mismatch,0.580,0.420,0.188,0.850,0.912,0.803,0.600,0.400,0.198,0.855,0.912,0.813,reject,500,false,false,agent_run_start|tool_call|error_response,180
INT-0012,integration,01,A1_baseline,batch-0012,ss-13,sample_spec,3,approved,operator,none,0.590,0.410,0.196,0.855,0.882,0.810,0.620,0.380,0.176,0.865,0.892,0.830,accept,200,false,true,agent_run_start|tool_call|baseline_completed|candidate_completed_x3|scorecard_computed|change_request_created|approval_changed,180
INT-0013,integration,01,A1_baseline,batch-0013,ss-14,sample_spec,3,rejected,operator,none,0.600,0.400,0.204,0.860,0.888,0.817,0.590,0.410,0.234,0.820,0.858,0.797,reject,200,false,true,agent_run_start|tool_call|baseline_completed|candidate_completed_x3|scorecard_computed|change_request_created|approval_changed,180
INT-0014,integration,01,A1_baseline,batch-0014,ss-15,sample_spec,3,pending,reviewer,none,0.610,0.390,0.156,0.865,0.894,0.824,0.630,0.370,0.166,0.870,0.894,0.834,reject,200,false,true,agent_run_start|tool_call|baseline_completed|candidate_completed_x3|scorecard_computed|change_request_created|approval_changed,180
INT-0015,integration,01,A1_baseline,batch-0015,ss-16,sample_spec,3,pending,admin,none,0.620,0.380,0.164,0.870,0.900,0.831,0.650,0.350,0.144,0.880,0.910,0.851,accept,200,false,true,agent_run_start|tool_call|baseline_completed|candidate_completed_x3|scorecard_computed|change_request_created|approval_changed,180
INT-0016,integration,01,A1_baseline,batch-0016,ss-17,sample_spec,3,approved,operator,timeout,0.630,0.370,0.172,0.875,0.906,0.782,0.620,0.380,0.202,0.835,0.876,0.762,reject,200,false,true,agent_run_start|tool_call|baseline_completed|candidate_completed_x3|scorecard_computed|change_request_created|approval_changed,180
INT-0017,integration,01,A1_baseline,batch-0017,ss-18,sample_spec,3,pending,anonymous,none,0.640,0.360,0.180,0.880,0.912,0.789,0.660,0.340,0.190,0.885,0.912,0.799,reject,401,false,false,agent_run_start|tool_call|error_response,180
INT-0018,integration,01,A1_baseline,batch-0018,ss-19,sample_spec,3,pending,operator,tool_5xx,0.650,0.350,0.188,0.840,0.882,0.796,0.680,0.320,0.168,0.850,0.892,0.816,accept,200,false,true,agent_run_start|tool_call|baseline_completed|candidate_completed_x3|scorecard_computed|change_request_created|approval_changed,180
INT-0019,integration,01,A1_baseline,batch-0019,ss-20,sample_spec,3,pending,operator,event_drop,0.660,0.340,0.196,0.845,0.888,0.803,0.650,0.350,0.226,0.805,0.858,0.783,reject,200,false,false,agent_run_start|tool_call|baseline_completed|candidate_completed_x3|scorecard_computed|change_request_created|approval_changed,180
INT-0020,integration,01,A1_baseline,batch-0020,ss-21,sample_spec,3,approved,admin,none,0.570,0.430,0.204,0.850,0.894,0.810,0.590,0.410,0.214,0.855,0.894,0.820,reject,200,true,true,agent_run_start|tool_call|baseline_completed|candidate_completed_x3|scorecard_computed|change_request_created|approval_changed|ruleset_activated,180
INT-0021,integration,01,A1_baseline,batch-0021,ss-22,sample_spec,3,pending,reviewer,none,0.580,0.420,0.156,0.855,0.900,0.817,0.610,0.390,0.136,0.865,0.910,0.837,accept,200,false,true,agent_run_start|tool_call|baseline_completed|candidate_completed_x3|scorecard_computed|change_request_created|approval_changed,180
INT-0022,integration,01,A1_baseline,batch-0022,ss-23,sample_spec,3,pending,operator,schema_mismatch,0.590,0.410,0.164,0.860,0.906,0.824,0.580,0.420,0.194,0.820,0.876,0.804,reject,500,false,false,agent_run_start|tool_call|error_response,180
INT-0023,integration,01,A1_baseline,batch-0023,ss-24,sample_spec,3,pending,operator,none,0.600,0.400,0.172,0.865,0.912,0.831,0.620,0.380,0.182,0.870,0.912,0.841,reject,200,false,true,agent_run_start|tool_call|baseline_completed|candidate_completed_x3|scorecard_computed|change_request_created|approval_changed,180
INT-0024,integration,01,A1_baseline,batch-0024,ss-01,sample_spec,3,approved,operator,timeout,0.610,0.390,0.180,0.870,0.882,0.782,0.640,0.360,0.160,0.880,0.892,0.802,accept,200,false,true,agent_run_start|tool_call|baseline_completed|candidate_completed_x3|scorecard_computed|change_request_created|approval_changed,180
INT-0025,integration,01,A1_baseline,batch-0025,ss-02,sample_spec,3,pending,admin,none,0.620,0.380,0.188,0.875,0.888,0.789,0.610,0.390,0.218,0.835,0.858,0.769,reject,200,false,true,agent_run_start|tool_call|baseline_completed|candidate_completed_x3|scorecard_computed|change_request_created|approval_changed,180
INT-0026,integration,01,A1_baseline,batch-0026,ss-03,sample_spec,3,rejected,operator,none,0.630,0.370,0.196,0.880,0.894,0.796,0.650,0.350,0.206,0.885,0.894,0.806,reject,200,false,true,agent_run_start|tool_call|baseline_completed|candidate_completed_x3|scorecard_computed|change_request_created|approval_changed,180
INT-0027,integration,01,A1_baseline,batch-0027,ss-04,sample_spec,3,pending,operator,tool_5xx,0.640,0.360,0.204,0.840,0.900,0.803,0.670,0.330,0.184,0.850,0.910,0.823,accept,200,false,true,agent_run_start|tool_call|baseline_completed|candidate_completed_x3|scorecard_computed|change_request_created|approval_changed,180
INT-0028,integration,01,A1_baseline,batch-0028,ss-05,sample_spec,3,approved,reviewer,none,0.650,0.350,0.156,0.845,0.906,0.810,0.640,0.360,0.186,0.805,0.876,0.790,reject,200,false,true,agent_run_start|tool_call|baseline_completed|candidate_completed_x3|scorecard_computed|change_request_created|approval_changed,180
INT-0029,integration,01,A1_baseline,batch-0029,ss-06,sample_spec,3,pending,operator,none,0.660,0.340,0.164,0.850,0.912,0.817,0.680,0.320,0.174,0.855,0.912,0.827,reject,200,false,true,agent_run_start|tool_call|baseline_completed|candidate_completed_x3|scorecard_computed|change_request_created|approval_changed,180
INT-0030,integration,01,A1_baseline,batch-0030,ss-07,sample_spec,3,pending,admin,none,0.570,0.430,0.172,0.855,0.882,0.824,0.600,0.400,0.152,0.865,0.892,0.844,accept,200,false,true,agent_run_start|tool_call|baseline_completed|candidate_completed_x3|scorecard_computed|change_request_created|approval_changed,180
INT-0031,integration,01,A1_baseline,batch-0031,ss-08,sample_spec,3,pending,operator,none,0.580,0.420,0.180,0.860,0.888,0.831,0.570,0.430,0.210,0.820,0.858,0.811,reject,200,false,true,agent_run_start|tool_call|baseline_completed|candidate_completed_x3|scorecard_computed|change_request_created|approval_changed,180
INT-0032,integration,01,A1_baseline,batch-0032,ss-09,sample_spec,3,approved,operator,timeout,0.590,0.410,0.188,0.865,0.894,0.782,0.610,0.390,0.198,0.870,0.894,0.792,reject,200,false,true,agent_run_start|tool_call|baseline_completed|candidate_completed_x3|scorecard_computed|change_request_created|approval_changed,180
INT-0033,integration,01,A1_baseline,batch-0033,ss-10,sample_spec,3,pending,operator,schema_mismatch,0.600,0.400,0.196,0.870,0.900,0.789,0.630,0.370,0.176,0.880,0.910,0.809,accept,500,false,false,agent_run_start|tool_call|error_response,180
INT-0034,integration,01,A1_baseline,batch-0034,ss-11,sample_spec,3,pending,anonymous,none,0.610,0.390,0.204,0.875,0.906,0.796,0.600,0.400,0.234,0.835,0.876,0.776,reject,401,false,false,agent_run_start|tool_call|error_response,180
INT-0035,integration,01,A1_baseline,batch-0035,ss-12,sample_spec,3,pending,reviewer,none,0.620,0.380,0.156,0.880,0.912,0.803,0.640,0.360,0.166,0.885,0.912,0.813,reject,200,false,true,agent_run_start|tool_call|baseline_completed|candidate_completed_x3|scorecard_computed|change_request_created|approval_changed,180
INT-0036,integration,01,A1_baseline,batch-0036,ss-13,sample_spec,3,approved,operator,tool_5xx,0.630,0.370,0.164,0.840,0.882,0.810,0.660,0.340,0.144,0.850,0.892,0.830,accept,200,false,true,agent_run_start|tool_call|baseline_completed|candidate_completed_x3|scorecard_computed|change_request_created|approval_changed,180
INT-0037,integration,01,A1_baseline,batch-0037,ss-14,sample_spec,4,pending,operator,none,0.640,0.360,0.172,0.845,0.888,0.817,0.630,0.370,0.202,0.805,0.858,0.797,reject,400,false,false,agent_run_start|tool_call|error_response,180
INT-0038,integration,01,A1_baseline,batch-0038,ss-15,sample_spec,3,pending,operator,event_drop,0.650,0.350,0.180,0.850,0.894,0.824,0.670,0.330,0.190,0.855,0.894,0.834,reject,200,false,false,agent_run_start|tool_call|baseline_completed|candidate_completed_x3|scorecard_computed|change_request_created|approval_changed,180
INT-0039,integration,01,A1_baseline,batch-0039,ss-16,sample_spec,3,rejected,operator,none,0.660,0.340,0.188,0.855,0.900,0.831,0.690,0.310,0.168,0.865,0.910,0.851,accept,200,false,true,agent_run_start|tool_call|baseline_completed|candidate_completed_x3|scorecard_computed|change_request_created|approval_changed,180
INT-0040,integration,01,A1_baseline,batch-0040,ss-17,sample_spec,3,approved,admin,timeout,0.570,0.430,0.196,0.860,0.906,0.782,0.560,0.440,0.226,0.820,0.876,0.762,reject,200,true,true,agent_run_start|tool_call|baseline_completed|candidate_completed_x3|scorecard_computed|change_request_created|approval_changed|ruleset_activated,180
INT-0041,integration,01,A1_baseline,batch-0041,ss-18,full,3,pending,operator,none,0.580,0.420,0.204,0.865,0.912,0.789,0.600,0.400,0.214,0.870,0.912,0.799,reject,400,false,false,agent_run_start|tool_call|error_response,180
INT-0042,integration,01,A1_baseline,batch-0042,ss-19,sample_spec,3,pending,reviewer,none,0.590,0.410,0.156,0.870,0.882,0.796,0.620,0.380,0.136,0.880,0.892,0.816,accept,200,false,true,agent_run_start|tool_call|baseline_completed|candidate_completed_x3|scorecard_computed|change_request_created|approval_changed,180
INT-0043,integration,01,A1_baseline,batch-0043,ss-20,sample_spec,3,pending,operator,none,0.600,0.400,0.164,0.875,0.888,0.803,0.590,0.410,0.194,0.835,0.858,0.783,reject,200,false,true,agent_run_start|tool_call|baseline_completed|candidate_completed_x3|scorecard_computed|change_request_created|approval_changed,180
INT-0044,integration,01,A1_baseline,batch-0044,ss-21,sample_spec,3,approved,operator,schema_mismatch,0.610,0.390,0.172,0.880,0.894,0.810,0.630,0.370,0.182,0.885,0.894,0.820,reject,500,false,false,agent_run_start|tool_call|error_response,180
INT-0045,integration,01,A1_baseline,batch-0045,ss-22,sample_spec,3,pending,admin,tool_5xx,0.620,0.380,0.180,0.840,0.900,0.817,0.650,0.350,0.160,0.850,0.910,0.837,accept,200,false,true,agent_run_start|tool_call|baseline_completed|candidate_completed_x3|scorecard_computed|change_request_created|approval_changed,180
INT-0046,integration,01,A1_baseline,batch-0046,ss-23,sample_spec,3,pending,operator,none,0.630,0.370,0.188,0.845,0.906,0.824,0.620,0.380,0.218,0.805,0.876,0.804,reject,200,false,true,agent_run_start|tool_call|baseline_completed|candidate_completed_x3|scorecard_computed|change_request_created|approval_changed,180
INT-0047,integration,01,A1_baseline,batch-0047,ss-24,sample_spec,3,pending,operator,none,0.640,0.360,0.196,0.850,0.912,0.831,0.660,0.340,0.206,0.855,0.912,0.841,reject,200,false,true,agent_run_start|tool_call|baseline_completed|candidate_completed_x3|scorecard_computed|change_request_created|approval_changed,180
INT-0048,integration,01,A1_baseline,batch-0048,ss-01,sample_spec,3,approved,operator,timeout,0.650,0.350,0.204,0.855,0.882,0.782,0.680,0.320,0.184,0.865,0.892,0.802,accept,200,false,true,agent_run_start|tool_call|baseline_completed|candidate_completed_x3|scorecard_computed|change_request_created|approval_changed,180
INT-0049,integration,01,A1_baseline,batch-0049,ss-02,sample_spec,3,pending,reviewer,none,0.660,0.340,0.156,0.860,0.888,0.789,0.650,0.350,0.186,0.820,0.858,0.769,reject,200,false,true,agent_run_start|tool_call|baseline_completed|candidate_completed_x3|scorecard_computed|change_request_created|approval_changed,180
INT-0050,integration,01,A1_baseline,batch-0050,ss-03,sample_spec,3,pending,admin,none,0.570,0.430,0.164,0.865,0.894,0.796,0.590,0.410,0.174,0.870,0.894,0.806,reject,200,false,true,agent_run_start|tool_call|baseline_completed|candidate_completed_x3|scorecard_computed|change_request_created|approval_changed,180
INT-0051,integration,01,A1_baseline,batch-0051,ss-04,sample_spec,3,pending,anonymous,none,0.580,0.420,0.172,0.870,0.900,0.803,0.610,0.390,0.152,0.880,0.910,0.823,accept,401,false,false,agent_run_start|tool_call|error_response,180
INT-0052,integration,01,A1_baseline,batch-0052,ss-05,sample_spec,3,rejected,operator,none,0.590,0.410,0.180,0.875,0.906,0.810,0.580,0.420,0.210,0.835,0.876,0.790,reject,200,false,true,agent_run_start|tool_call|baseline_completed|candidate_completed_x3|scorecard_computed|change_request_created|approval_changed,180
INT-0053,integration,01,A1_baseline,batch-0053,ss-06,sample_spec,0,pending,operator,none,0.600,0.400,0.188,0.880,0.912,0.817,0.620,0.380,0.198,0.885,0.912,0.827,reject,400,false,false,agent_run_start|tool_call|error_response,180
INT-0054,integration,01,A1_baseline,batch-0054,ss-07,sample_spec,3,pending,operator,tool_5xx,0.610,0.390,0.196,0.840,0.882,0.824,0.640,0.360,0.176,0.850,0.892,0.844,accept,200,false,true,agent_run_start|tool_call|baseline_completed|candidate_completed_x3|scorecard_computed|change_request_created|approval_changed,180
INT-0055,integration,01,A1_baseline,batch-0055,ss-08,sample_spec,3,pending,admin,schema_mismatch,0.620,0.380,0.204,0.845,0.888,0.831,0.610,0.390,0.234,0.805,0.858,0.811,reject,500,false,false,agent_run_start|tool_call|error_response,180
INT-0056,integration,01,A1_baseline,batch-0056,ss-09,sample_spec,3,approved,reviewer,timeout,0.630,0.370,0.156,0.850,0.894,0.782,0.650,0.350,0.166,0.855,0.894,0.792,reject,200,false,true,agent_run_start|tool_call|baseline_completed|candidate_completed_x3|scorecard_computed|change_request_created|approval_changed,180
INT-0057,integration,01,A1_baseline,batch-0057,ss-10,sample_spec,3,pending,operator,event_drop,0.640,0.360,0.164,0.855,0.900,0.789,0.670,0.330,0.144,0.865,0.910,0.809,accept,200,false,false,agent_run_start|tool_call|baseline_completed|candidate_completed_x3|scorecard_computed|change_request_created|approval_changed,180
INT-0058,integration,01,A1_baseline,batch-0058,ss-11,sample_spec,3,pending,operator,none,0.650,0.350,0.172,0.860,0.906,0.796,0.640,0.360,0.202,0.820,0.876,0.776,reject,200,false,true,agent_run_start|tool_call|baseline_completed|candidate_completed_x3|scorecard_computed|change_request_created|approval_changed,180
INT-0059,integration,01,A1_baseline,batch-0059,ss-12,sample_spec,3,pending,operator,none,0.660,0.340,0.180,0.865,0.912,0.803,0.680,0.320,0.190,0.870,0.912,0.813,reject,200,false,true,agent_run_start|tool_call|baseline_completed|candidate_completed_x3|scorecard_computed|change_request_created|approval_changed,180
INT-0060,integration,01,A1_baseline,batch-0060,ss-13,sample_spec,3,approved,admin,none,0.570,0.430,0.188,0.870,0.882,0.810,0.600,0.400,0.168,0.880,0.892,0.830,accept,200,true,true,agent_run_start|tool_call|baseline_completed|candidate_completed_x3|scorecard_computed|change_request_created|approval_changed|ruleset_activated,180
INT-0061,integration,01,A1_baseline,batch-0061,ss-14,sample_spec,3,pending,operator,none,0.580,0.420,0.196,0.875,0.888,0.817,0.570,0.430,0.226,0.835,0.858,0.797,reject,200,false,true,agent_run_start|tool_call|baseline_completed|candidate_completed_x3|scorecard_computed|change_request_created|approval_changed,180
INT-0062,integration,01,A1_baseline,batch-0062,ss-15,sample_spec,3,pending,operator,none,0.590,0.410,0.204,0.880,0.894,0.824,0.610,0.390,0.214,0.885,0.894,0.834,reject,200,false,true,agent_run_start|tool_call|baseline_completed|candidate_completed_x3|scorecard_computed|change_request_created|approval_changed,180
INT-0063,integration,01,A1_baseline,batch-0063,ss-16,sample_spec,3,pending,reviewer,tool_5xx,0.600,0.400,0.156,0.840,0.900,0.831,0.630,0.370,0.136,0.850,0.910,0.851,accept,200,false,true,agent_run_start|tool_call|baseline_completed|candidate_completed_x3|scorecard_computed|change_request_created|approval_changed,180
INT-0064,integration,01,A1_baseline,batch-0064,ss-17,sample_spec,3,approved,operator,timeout,0.610,0.390,0.164,0.845,0.906,0.782,0.600,0.400,0.194,0.805,0.876,0.762,reject,200,false,true,agent_run_start|tool_call|baseline_completed|candidate_completed_x3|scorecard_computed|change_request_created|approval_changed,180
INT-0065,integration,01,A1_baseline,batch-0065,ss-18,sample_spec,3,rejected,admin,none,0.620,0.380,0.172,0.850,0.912,0.789,0.640,0.360,0.182,0.855,0.912,0.799,reject,200,false,true,agent_run_start|tool_call|baseline_completed|candidate_completed_x3|scorecard_computed|change_request_created|approval_changed,180
INT-0066,integration,01,A1_baseline,batch-0066,ss-19,sample_spec,3,pending,operator,schema_mismatch,0.630,0.370,0.180,0.855,0.882,0.796,0.660,0.340,0.160,0.865,0.892,0.816,accept,500,false,false,agent_run_start|tool_call|error_response,180
INT-0067,integration,01,A1_baseline,batch-0067,ss-20,sample_spec,3,pending,operator,none,0.640,0.360,0.188,0.860,0.888,0.803,0.630,0.370,0.218,0.820,0.858,0.783,reject,200,false,true,agent_run_start|tool_call|baseline_completed|candidate_completed_x3|scorecard_computed|change_request_created|approval_changed,180
INT-0068,integration,01,A1_baseline,batch-0068,ss-21,sample_spec,3,approved,anonymous,none,0.650,0.350,0.196,0.865,0.894,0.810,0.670,0.330,0.206,0.870,0.894,0.820,reject,401,false,false,agent_run_start|tool_call|error_response,180
INT-0069,integration,01,A1_baseline,batch-0069,ss-22,sample_spec,3,pending,operator,none,0.660,0.340,0.204,0.870,0.900,0.817,0.690,0.310,0.184,0.880,0.910,0.837,accept,200,false,true,agent_run_start|tool_call|baseline_completed|candidate_completed_x3|scorecard_computed|change_request_created|approval_changed,180
INT-0070,integration,01,A1_baseline,batch-0070,ss-23,sample_spec,3,pending,reviewer,none,0.570,0.430,0.156,0.875,0.906,0.824,0.560,0.440,0.186,0.835,0.876,0.804,reject,200,false,true,agent_run_start|tool_call|baseline_completed|candidate_completed_x3|scorecard_computed|change_request_created|approval_changed,180
INT-0071,integration,01,A1_baseline,batch-0071,ss-24,sample_spec,3,pending,operator,none,0.580,0.420,0.164,0.880,0.912,0.831,0.600,0.400,0.174,0.885,0.912,0.841,reject,200,false,true,agent_run_start|tool_call|baseline_completed|candidate_completed_x3|scorecard_computed|change_request_created|approval_changed,180
INT-0072,integration,01,A1_baseline,batch-0072,ss-01,sample_spec,3,approved,operator,tool_5xx,0.590,0.410,0.172,0.840,0.882,0.782,0.620,0.380,0.152,0.850,0.892,0.802,accept,200,false,true,agent_run_start|tool_call|baseline_completed|candidate_completed_x3|scorecard_computed|change_request_created|approval_changed,180
INT-0073,integration,01,A1_baseline,batch-0073,ss-02,sample_spec,3,pending,operator,none,0.600,0.400,0.180,0.845,0.888,0.789,0.590,0.410,0.210,0.805,0.858,0.769,reject,200,false,true,agent_run_start|tool_call|baseline_completed|candidate_completed_x3|scorecard_computed|change_request_created|approval_changed,180
INT-0074,integration,01,A1_baseline,batch-0074,ss-03,sample_spec,4,pending,operator,none,0.610,0.390,0.188,0.850,0.894,0.796,0.630,0.370,0.198,0.855,0.894,0.806,reject,400,false,false,agent_run_start|tool_call|error_response,180
INT-0075,integration,01,A1_baseline,batch-0075,ss-04,sample_spec,3,pending,admin,none,0.620,0.380,0.196,0.855,0.900,0.803,0.650,0.350,0.176,0.865,0.910,0.823,accept,200,false,true,agent_run_start|tool_call|baseline_completed|candidate_completed_x3|scorecard_computed|change_request_created|approval_changed,180
INT-0076,integration,01,A1_baseline,batch-0076,ss-05,sample_spec,3,approved,operator,event_drop,0.630,0.370,0.204,0.860,0.906,0.810,0.620,0.380,0.234,0.820,0.876,0.790,reject,200,false,false,agent_run_start|tool_call|baseline_completed|candidate_completed_x3|scorecard_computed|change_request_created|approval_changed,180
INT-0077,integration,01,A1_baseline,batch-0077,ss-06,sample_spec,3,pending,reviewer,schema_mismatch,0.640,0.360,0.156,0.865,0.912,0.817,0.660,0.340,0.166,0.870,0.912,0.827,reject,500,false,false,agent_run_start|tool_call|error_response,180
INT-0078,integration,01,A1_baseline,batch-0078,ss-07,sample_spec,3,rejected,operator,none,0.650,0.350,0.164,0.870,0.882,0.824,0.680,0.320,0.144,0.880,0.892,0.844,accept,200,false,true,agent_run_start|tool_call|baseline_completed|candidate_completed_x3|scorecard_computed|change_request_created|approval_changed,180
INT-0079,integration,01,A1_baseline,batch-0079,ss-08,sample_spec,3,pending,operator,none,0.660,0.340,0.172,0.875,0.888,0.831,0.650,0.350,0.202,0.835,0.858,0.811,reject,200,false,true,agent_run_start|tool_call|baseline_completed|candidate_completed_x3|scorecard_computed|change_request_created|approval_changed,180
INT-0080,integration,01,A1_baseline,batch-0080,ss-09,sample_spec,3,approved,admin,timeout,0.570,0.430,0.180,0.880,0.894,0.782,0.590,0.410,0.190,0.885,0.894,0.792,reject,200,true,true,agent_run_start|tool_call|baseline_completed|candidate_completed_x3|scorecard_computed|change_request_created|approval_changed|ruleset_activated,180
INT-0081,integration,01,A1_baseline,batch-0081,ss-10,sample_spec,3,pending,operator,tool_5xx,0.580,0.420,0.188,0.840,0.900,0.789,0.610,0.390,0.168,0.850,0.910,0.809,accept,200,false,true,agent_run_start|tool_call|baseline_completed|candidate_completed_x3|scorecard_computed|change_request_created|approval_changed,180
INT-0082,integration,01,A1_baseline,batch-0082,ss-11,full,3,pending,operator,none,0.590,0.410,0.196,0.845,0.906,0.796,0.580,0.420,0.226,0.805,0.876,0.776,reject,400,false,false,agent_run_start|tool_call|error_response,180
INT-0083,integration,01,A1_baseline,batch-0083,ss-12,sample_spec,3,pending,operator,none,0.600,0.400,0.204,0.850,0.912,0.803,0.620,0.380,0.214,0.855,0.912,0.813,reject,200,false,true,agent_run_start|tool_call|baseline_completed|candidate_completed_x3|scorecard_computed|change_request_created|approval_changed,180
INT-0084,integration,01,A1_baseline,batch-0084,ss-13,sample_spec,3,approved,reviewer,none,0.610,0.390,0.156,0.855,0.882,0.810,0.640,0.360,0.136,0.865,0.892,0.830,accept,200,false,true,agent_run_start|tool_call|baseline_completed|candidate_completed_x3|scorecard_computed|change_request_created|approval_changed,180
INT-0085,integration,01,A1_baseline,batch-0085,ss-14,sample_spec,3,pending,anonymous,none,0.620,0.380,0.164,0.860,0.888,0.817,0.610,0.390,0.194,0.820,0.858,0.797,reject,401,false,false,agent_run_start|tool_call|error_response,180
INT-0086,integration,01,A1_baseline,batch-0086,ss-15,sample_spec,3,pending,operator,none,0.630,0.370,0.172,0.865,0.894,0.824,0.650,0.350,0.182,0.870,0.894,0.834,reject,200,false,true,agent_run_start|tool_call|baseline_completed|candidate_completed_x3|scorecard_computed|change_request_created|approval_changed,180
INT-0087,integration,01,A1_baseline,batch-0087,ss-16,sample_spec,3,pending,operator,none,0.640,0.360,0.180,0.870,0.900,0.831,0.670,0.330,0.160,0.880,0.910,0.851,accept,200,false,true,agent_run_start|tool_call|baseline_completed|candidate_completed_x3|scorecard_computed|change_request_created|approval_changed,180
INT-0088,integration,01,A1_baseline,batch-0088,ss-17,sample_spec,3,approved,operator,schema_mismatch,0.650,0.350,0.188,0.875,0.906,0.782,0.640,0.360,0.218,0.835,0.876,0.762,reject,500,false,false,agent_run_start|tool_call|error_response,180
INT-0089,integration,01,A1_baseline,batch-0089,ss-18,sample_spec,3,pending,operator,none,0.660,0.340,0.196,0.880,0.912,0.789,0.680,0.320,0.206,0.885,0.912,0.799,reject,200,false,true,agent_run_start|tool_call|baseline_completed|candidate_completed_x3|scorecard_computed|change_request_created|approval_changed,180
INT-0090,integration,01,A1_baseline,batch-0090,ss-19,sample_spec,3,pending,admin,tool_5xx,0.570,0.430,0.204,0.840,0.882,0.796,0.600,0.400,0.184,0.850,0.892,0.816,accept,200,false,true,agent_run_start|tool_call|baseline_completed|candidate_completed_x3|scorecard_computed|change_request_created|approval_changed,180
